Province_State,State_Code,Admin2,Population,Lat,Long
Alabama,AL,Autauga,55869,32.53952745,-86.64408227
Alabama,AL,Baldwin,223234,30.72774991,-87.72207058
Alabama,AL,Barbour,24686,31.868263,-85.3871286
Alabama,AL,Bibb,22394,32.99642064,-87.12511459999996
Alabama,AL,Blount,57826,33.98210918,-86.56790593
Alabama,AL,Bullock,10101,32.10030533,-85.71265535
Alabama,AL,Butler,19448,31.75300095,-86.68057478
Alabama,AL,Calhoun,113605,33.77483727,-85.82630386
Alabama,AL,Chambers,33254,32.91360079,-85.39072749
Alabama,AL,Cherokee,26196,34.17805983,-85.60638968
Alabama,AL,Chilton,44428,32.85044126,-86.7173256
Alabama,AL,Choctaw,12589,32.02227341,-88.26564429999998
Alabama,AL,Clarke,23622,31.68099859,-87.83548597
Alabama,AL,Clay,13235,33.26984193,-85.85836077
Alabama,AL,Cleburne,14910,33.67679204,-85.52005899
Alabama,AL,Coffee,52342,31.39932826,-85.98901039
Alabama,AL,Colbert,55241,34.69847452,-87.80168544
Alabama,AL,Conecuh,12067,31.43401703,-86.99320044
Alabama,AL,Coosa,10663,32.93690146,-86.24847739
Alabama,AL,Covington,37049,31.247785399999998,-86.45050893
Alabama,AL,Crenshaw,13772,31.72941803,-86.31593104
Alabama,AL,Cullman,83768,34.13020303,-86.86888037
Alabama,AL,Dale,49172,31.43037123,-85.61095742
Alabama,AL,Dallas,37196,32.32688101,-87.10866709999998
Alabama,AL,DeKalb,71513,34.45946862,-85.80782906
Alabama,AL,Elmore,81209,32.59785413,-86.14415284
Alabama,AL,Escambia,36633,31.1256789,-87.15918694
Alabama,AL,Etowah,102268,34.04567266,-86.04051873
Alabama,AL,Fayette,16302,33.72076938,-87.73886638
Alabama,AL,Franklin,31362,34.44235334,-87.84289505
Alabama,AL,Geneva,26271,31.09389027,-85.83572839
Alabama,AL,Greene,8111,32.85504247,-87.95684022
Alabama,AL,Hale,14651,32.76039258,-87.63284988
Alabama,AL,Henry,17205,31.51148016,-85.24267944
Alabama,AL,Houston,105882,31.15197924,-85.29939599
Alabama,AL,Jackson,51626,34.78144169,-85.99750489
Alabama,AL,Jefferson,658573,33.55554728,-86.89506300000002
Alabama,AL,Lamar,13805,33.77995024,-88.09668032
Alabama,AL,Lauderdale,92729,34.90171875,-87.65624729
Alabama,AL,Lawrence,32924,34.52041498,-87.31069453
Alabama,AL,Lee,164542,32.60154883,-85.35132246
Alabama,AL,Limestone,98915,34.81185586,-86.98310072
Alabama,AL,Lowndes,9726,32.1597283,-86.65158371
Alabama,AL,Macon,18068,32.38759944,-85.69267724
Alabama,AL,Madison,372909,34.76327133,-86.55069633
Alabama,AL,Marengo,18863,32.24767634,-87.78796182
Alabama,AL,Marion,29709,34.13697363,-87.88704173
Alabama,AL,Marshall,96774,34.36975964,-86.30486727
Alabama,AL,Mobile,413210,30.78472347,-88.20842409
Alabama,AL,Monroe,20733,31.56729412,-87.36995001
Alabama,AL,Montgomery,226486,32.2206831,-86.20969272
Alabama,AL,Morgan,119679,34.45500589,-86.85475946
Alabama,AL,Out of AL,0,0.0,0.0
Alabama,AL,Perry,8923,32.64048341,-87.29770589
Alabama,AL,Pickens,19930,33.28094866,-88.08818103
Alabama,AL,Pike,33114,31.80396383,-85.9408295
Alabama,AL,Randolph,22722,33.29526734,-85.45708831
Alabama,AL,Russell,57961,32.28725256,-85.18415324
Alabama,AL,Shelby,217702,33.26879845,-86.66232561
Alabama,AL,St. Clair,89512,33.71902176,-86.31029372
Alabama,AL,Sumter,12427,32.59117397,-88.19916205
Alabama,AL,Talladega,79978,33.37823223,-86.16886178
Alabama,AL,Tallapoosa,40367,32.86698258,-85.79833053
Alabama,AL,Tuscaloosa,209355,33.28726072,-87.52556818
Alabama,AL,Unassigned,0,0.0,0.0
Alabama,AL,Walker,63521,33.80270512,-87.30027177
Alabama,AL,Washington,16326,31.4092794,-88.20689944
Alabama,AL,Wilcox,10373,31.98773215,-87.30891118
Alabama,AL,Winston,23629,34.15030532,-87.37325922
Alaska,AK,Aleutians East,3337,55.32222414,-161.9722021
Alaska,AK,Aleutians West,5634,52.3233,-174.1596
Alaska,AK,Anchorage,288000,61.14998174,-149.14269860000005
Alaska,AK,Bethel,18386,60.90980451,-159.8561831
Alaska,AK,Bristol Bay,836,58.74513976,-156.701064
Alaska,AK,Bristol Bay plus Lake and Peninsula,1592,58.62403337,-156.21405890000003
Alaska,AK,Chugach,6751,61.16666,-149.9
Alaska,AK,Copper River,2699,60.3886,-162.8905196
Alaska,AK,Denali,2097,63.67264044,-150.0076108
Alaska,AK,Dillingham,4916,59.79603738,-158.23819419999995
Alaska,AK,Fairbanks North Star,96849,64.80726247,-146.5692662
Alaska,AK,Haines,2530,59.09893571,-135.4679843
Alaska,AK,Hoonah-Angoon,2148,58.29307365,-135.64244240000002
Alaska,AK,Juneau,31974,58.45031811,-134.200436
Alaska,AK,Kenai Peninsula,58708,60.24429722,-151.53888840000005
Alaska,AK,Ketchikan Gateway,13901,55.57445008,-130.975561
Alaska,AK,Kodiak Island,12998,57.65529415,-153.7493579
Alaska,AK,Kusilvak,8314,62.15429159999999,-163.39678830000003
Alaska,AK,Matanuska-Susitna,108317,62.31305045,-149.5741743
Alaska,AK,Nome,10004,64.90320724,-164.0353804
Alaska,AK,North Slope,9832,69.31479216,-153.4836093
Alaska,AK,Northwest Arctic,7621,67.04919196,-159.7503946
Alaska,AK,Out of AK,0,0.0,0.0
Alaska,AK,Petersburg,3266,57.13978948,-132.9540995
Alaska,AK,Prince of Wales-Hyder,6203,55.76261984,-133.0511621
Alaska,AK,Sitka,8493,57.24124555,-135.3206587
Alaska,AK,Skagway,1183,59.56149996,-135.33377480000001
Alaska,AK,Southeast Fairbanks,6893,63.87692095,-143.2127643
Alaska,AK,Unassigned,0,0.0,0.0
Alaska,AK,Valdez-Cordova,9202,61.47502768,-144.7126799
Alaska,AK,Wrangell,2502,56.3202004,-132.05837309999998
Alaska,AK,Yakutat,579,59.890980799999994,-140.36014509999998
Alaska,AK,Yukon-Koyukuk,5230,65.50815459,-151.39073869999999
Arizona,AZ,Apache,71887,35.39465006,-109.4892383
Arizona,AZ,Cochise,125922,31.87934684,-109.7516088
Arizona,AZ,Coconino,143476,35.83883429,-111.77071780000001
Arizona,AZ,Gila,54018,33.80190085,-110.8132779
Arizona,AZ,Graham,38837,32.93166885,-109.8882178
Arizona,AZ,Greenlee,9498,33.21498827,-109.2405279
Arizona,AZ,La Paz,21108,33.72854224,-113.98100290000001
Arizona,AZ,Maricopa,4485414,33.34835867,-112.49181540000001
Arizona,AZ,Mohave,212181,35.70471703,-113.7577902
Arizona,AZ,Navajo,110924,35.3997715,-110.3218983
Arizona,AZ,Out of AZ,0,0.0,0.0
Arizona,AZ,Pima,1047279,32.0971334,-111.7890033
Arizona,AZ,Pinal,462789,32.90525627,-111.3449483
Arizona,AZ,Santa Cruz,46498,31.52508998,-110.8479088
Arizona,AZ,Unassigned,0,0.0,0.0
Arizona,AZ,Yavapai,235099,34.59933926,-112.5538588
Arizona,AZ,Yuma,213787,32.76895712,-113.90666740000002
Arkansas,AR,Arkansas,17486,34.29145151,-91.37277296
Arkansas,AR,Ashley,19657,33.19153461,-91.76984709999999
Arkansas,AR,Baxter,41932,36.28784385,-92.33782872
Arkansas,AR,Benton,279141,36.33644656,-94.25680817
Arkansas,AR,Boone,37432,36.3084504,-93.09374925
Arkansas,AR,Bradley,10763,33.46755808,-92.15980837
Arkansas,AR,Calhoun,5189,33.55598792,-92.49974403
Arkansas,AR,Carroll,28380,36.34038560000001,-93.54270261
Arkansas,AR,Chicot,10118,33.26458973,-91.29539209
Arkansas,AR,Clark,22320,34.04613432,-93.17484713
Arkansas,AR,Clay,14551,36.36826212,-90.4148172
Arkansas,AR,Cleburne,24919,35.53864922,-92.02640019
Arkansas,AR,Cleveland,7956,33.89723187,-92.18537045
Arkansas,AR,Columbia,23457,33.21230701,-93.22642793
Arkansas,AR,Conway,20846,35.26205537,-92.70506566
Arkansas,AR,Craighead,110332,35.83018283,-90.63235729
Arkansas,AR,Crawford,63257,35.58928601,-94.2446814
Arkansas,AR,Crittenden,47955,35.21247318,-90.30839406
Arkansas,AR,Cross,16419,35.29631396,-90.77185818
Arkansas,AR,Dallas,7009,33.97042763,-92.65167437
Arkansas,AR,Desha,11361,33.83011025,-91.25500948
Arkansas,AR,Drew,18219,33.59035001,-91.71777921
Arkansas,AR,Faulkner,126007,35.14719007,-92.33717519
Arkansas,AR,Franklin,17715,35.51202821,-93.89299569
Arkansas,AR,Fulton,12477,36.38177105,-91.81729127
Arkansas,AR,Garland,99386,34.57692074,-93.14921604
Arkansas,AR,Grant,18265,34.29017991,-92.42320562
Arkansas,AR,Greene,45325,36.11735460000001,-90.55832668
Arkansas,AR,Hempstead,21532,33.73325583,-93.66935133
Arkansas,AR,Hot Spring,33771,34.31709259,-92.95396325
Arkansas,AR,Howard,13202,34.09007427,-93.9934871
Arkansas,AR,Independence,37825,35.74242707,-91.57001641
